,High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
0,191.56,189.23,190.33,191.24,2023-12-01T21:00:00Z,45704823,260477,23206016,0,False,True,515409,0,0,254932,22498806,1701464400000,Closed
1,191.56,189.23,190.33,191.24,2023-12-01T21:00:00Z,45704823,260477,23206016,0,False,True,515409,0,0,254932,22498806,1701464400000,Closed
2,191.56,189.23,190.33,191.24,2023-12-01T21:00:00Z,45704823,260477,23206016,0,False,True,515409,0,0,254932,22498806,1701464400000,Closed
3,190.05,187.45,189.98,189.43,2023-12-04T21:00:00Z,43389519,294949,23945479,0,False,True,587446,0,0,292497,19444040,1701723600000,Closed
4,194.4,190.18,190.21,193.42,2023-12-05T21:00:00Z,66628398,349390,36462549,0,False,True,700575,0,0,351185,30165848,1701810000000,Closed
5,194.76,192.11,194.45,192.32,2023-12-06T21:00:00Z,41089737,249321,24577966,0,False,True,491197,0,0,241876,16511770,1701896400000,Closed
6,195,193.59,193.63,194.27,2023-12-07T21:00:00Z,47477655,249760,19199041,0,False,True,495017,0,0,245257,28278613,1701982800000,Closed
7,195.99,193.67,194.2,195.71,2023-12-08T21:00:00Z,53406358,269559,30788114,0,False,True,538804,0,0,269245,22618243,1702069200000,Closed
8,195.99,193.67,194.2,195.71,2023-12-08T21:00:00Z,53406358,269559,30788114,0,False,True,538804,0,0,269245,22618243,1702069200000,Closed
9,195.99,193.67,194.2,195.71,2023-12-08T21:00:00Z,53406358,269559,30788114,0,False,True,538804,0,0,269245,22618243,1702069200000,Closed
10,193.49,191.42,193.11,193.18,2023-12-11T21:00:00Z,60943699,350948,35574874,0,False,True,691057,0,0,340109,25368824,1702328400000,Closed
11,194.72,191.72,193.08,194.71,2023-12-12T21:00:00Z,52696900,256150,22632101,0,False,True,510664,0,0,254514,30064799,1702414800000,Closed
12,198,194.85,195.09,197.96,2023-12-13T21:00:00Z,70404183,336117,28488742,0,False,True,672426,0,0,336309,41915440,1702501200000,Closed
13,199.62,196.16,198.02,198.11,2023-12-14T21:00:00Z,66831572,347719,37343561,0,False,True,691758,0,0,344039,29488011,1702587600000,Closed
14,198.4,197,197.53,197.57,2023-12-15T21:00:00Z,128538401,310778,58885288,0,False,True,624364,0,0,313586,69653112,1702674000000,Closed
15,198.4,197,197.53,197.57,2023-12-15T21:00:00Z,128538401,311147,58884227,0,False,True,625104,0,0,313957,69654173,1702674000000,Closed
16,198.4,197,197.53,197.57,2023-12-15T21:00:00Z,128538401,311147,58884227,0,False,True,625104,0,0,313957,69654173,1702674000000,Closed
17,196.63,194.39,196.09,195.89,2023-12-18T21:00:00Z,55751861,330488,20040573,0,False,True,655697,0,0,325209,35711288,1702933200000,Closed
