,High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
0,29.34,29.16,29.31,29.2,2023-12-01T21:00:00Z,2520384,1930,1369346,0,False,True,3886,0,0,1956,1151038,1701464400000,Closed
1,29.34,29.16,29.31,29.2,2023-12-01T21:00:00Z,2520384,1930,1369346,0,False,True,3886,0,0,1956,1151038,1701464400000,Closed
2,29.34,29.16,29.31,29.2,2023-12-01T21:00:00Z,2520384,1930,1369346,0,False,True,3886,0,0,1956,1151038,1701464400000,Closed
3,29.39,29.29,29.35,29.33,2023-12-04T21:00:00Z,2271836,1637,992851,0,False,True,3828,0,0,2191,1278984,1701723600000,Closed
4,29.46,29.32,29.37,29.44,2023-12-05T21:00:00Z,1836837,1453,856583,0,False,True,2837,0,0,1384,980254,1701810000000,Closed
5,29.51,29.4,29.4,29.51,2023-12-06T21:00:00Z,1537544,1364,920330,0,False,True,2849,0,0,1485,617214,1701896400000,Closed
6,29.43,29.25,29.41,29.35,2023-12-07T21:00:00Z,2570373,2003,1192263,0,False,True,3972,0,0,1969,1378109,1701982800000,Closed
7,29.51,29.39,29.51,29.46,2023-12-08T21:00:00Z,1460907,1369,620829,0,False,True,3298,0,0,1929,840077,1702069200000,Closed
8,29.51,29.39,29.51,29.46,2023-12-08T21:00:00Z,1460907,1369,620829,0,False,True,3298,0,0,1929,840077,1702069200000,Closed
9,29.51,29.39,29.51,29.46,2023-12-08T21:00:00Z,1460907,1369,620829,0,False,True,3298,0,0,1929,840077,1702069200000,Closed
10,29.54,29.47,29.52,29.5,2023-12-11T21:00:00Z,956184,822,449585,0,False,True,1634,0,0,812,506599,1702328400000,Closed
11,29.5,29.41,29.46,29.42,2023-12-12T21:00:00Z,1034235,854,612116,0,False,True,1759,0,0,905,422119,1702414800000,Closed
12,29.47,29.12,29.4,29.17,2023-12-13T21:00:00Z,1509364,1869,886669,0,False,True,3552,0,0,1683,622695,1702501200000,Closed
13,29.01,28.86,28.99,28.9,2023-12-14T21:00:00Z,3746205,3267,2024152,0,False,True,6536,0,0,3269,1722052,1702587600000,Closed
14,29.11,29.02,29.03,29.09,2023-12-15T21:00:00Z,4411803,1553,3445813,0,False,True,3207,0,0,1654,965989,1702674000000,Closed
15,29.11,29.02,29.03,29.09,2023-12-15T21:00:00Z,4411803,1553,3445813,0,False,True,3207,0,0,1654,965989,1702674000000,Closed
16,29.11,29.02,29.03,29.09,2023-12-15T21:00:00Z,4411803,1553,3445813,0,False,True,3207,0,0,1654,965989,1702674000000,Closed
