,High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
0,92.94,91.96,92.08,92.94,2023-12-01T21:00:00Z,9126191,20291,4576691,0,False,True,39594,0,0,19303,4549499,1701464400000,Closed
1,92.94,91.96,92.08,92.94,2023-12-01T21:00:00Z,9126191,20291,4576691,0,False,True,39594,0,0,19303,4549499,1701464400000,Closed
2,92.94,91.96,92.08,92.94,2023-12-01T21:00:00Z,9126191,20291,4576691,0,False,True,39594,0,0,19303,4549499,1701464400000,Closed
3,92.76,92.38,92.38,92.71,2023-12-04T21:00:00Z,3905572,9336,2094848,0,False,True,18307,0,0,8971,1810723,1701723600000,Closed
4,92.89,92.56,92.56,92.84,2023-12-05T21:00:00Z,3877316,9454,1880257,0,False,True,18591,0,0,9137,1997058,1701810000000,Closed
5,93.01,92.77,92.95,92.8,2023-12-06T21:00:00Z,4271423,9402,2238595,0,False,True,18894,0,0,9492,2032827,1701896400000,Closed
6,93.13,92.87,92.93,92.96,2023-12-07T21:00:00Z,6103679,12762,3394508,0,False,True,24447,0,0,11685,2709171,1701982800000,Closed
7,92.86,92.57,92.61,92.81,2023-12-08T21:00:00Z,7106327,12416,3129403,0,False,True,26670,0,0,14254,3976924,1702069200000,Closed
8,92.86,92.57,92.61,92.81,2023-12-08T21:00:00Z,7106327,12416,3129403,0,False,True,26670,0,0,14254,3976924,1702069200000,Closed
9,92.86,92.57,92.61,92.81,2023-12-08T21:00:00Z,7106327,12416,3129403,0,False,True,26670,0,0,14254,3976924,1702069200000,Closed
10,92.78,92.47,92.74,92.74,2023-12-11T21:00:00Z,4797117,9495,2609619,0,False,True,19344,0,0,9849,2187497,1702328400000,Closed
11,93.03,92.51,92.75,92.99,2023-12-12T21:00:00Z,8280211,10733,4290772,0,False,True,21862,0,0,11129,3989438,1702414800000,Closed
12,94.38,93.07,93.09,94.37,2023-12-13T21:00:00Z,8382835,18743,4630936,0,False,True,35127,0,0,16384,3751899,1702501200000,Closed
13,95.15,94.65,94.89,94.83,2023-12-14T21:00:00Z,9342519,20522,4828876,0,False,True,40809,0,0,20287,4513643,1702587600000,Closed
14,94.8,94.41,94.77,94.64,2023-12-15T21:00:00Z,7087803,14726,3609454,0,False,True,29839,0,0,15113,3478348,1702674000000,Closed
15,94.8,94.41,94.77,94.64,2023-12-15T21:00:00Z,7087803,14726,3609454,0,False,True,29839,0,0,15113,3478348,1702674000000,Closed
16,94.8,94.41,94.77,94.64,2023-12-15T21:00:00Z,7087803,14726,3609454,0,False,True,29839,0,0,15113,3478348,1702674000000,Closed
17,94.35,93.87,94.3,94.19,2023-12-18T21:00:00Z,5908935,12385,2730003,0,False,True,25609,0,0,13224,3178932,1702933200000,Closed
18,94.59,94.27,94.27,94.5,2023-12-19T21:00:00Z,4371060,9885,2299622,0,False,True,19371,0,0,9486,2071437,1703019600000,Closed
19,94.91,94.47,94.59,94.47,2023-12-20T21:00:00Z,4538690,11185,2428600,0,False,True,21649,0,0,10464,2110090,1703106000000,Closed
20,95.01,94.62,94.89,94.9,2023-12-21T21:00:00Z,5366617,13517,2862992,0,False,True,25534,0,0,12017,2503624,1703192400000,Closed
21,95.16,94.77,95.1,94.81,2023-12-22T21:00:00Z,3523947,8139,1837570,0,False,True,16445,0,0,8306,1686377,1703278800000,Closed
22,95.16,94.77,95.1,94.81,2023-12-22T21:00:00Z,3523947,8139,1837570,0,False,True,16445,0,0,8306,1686377,1703278800000,Closed
23,95.16,94.77,95.1,94.81,2023-12-22T21:00:00Z,3523947,8139,1837570,0,False,True,16445,0,0,8306,1686377,1703278800000,Closed
24,95.16,94.77,95.1,94.81,2023-12-22T21:00:00Z,3523947,8139,1837570,0,False,True,16445,0,0,8306,1686377,1703278800000,Closed
25,95.04,94.84,94.84,95,2023-12-26T21:00:00Z,1668765,4725,883185,0,False,True,9254,0,0,4529,785580,1703624400000,Closed
26,95.59,95.02,95.15,95.4,2023-12-27T21:00:00Z,3698154,8956,1750708,0,False,True,18224,0,0,9268,1947445,1703710800000,Closed
27,95.39,94.92,95.37,95.06,2023-12-28T21:00:00Z,3349289,8247,1692848,0,False,True,16597,0,0,8350,1656441,1703797200000,Closed
28,95.28,94.73,94.96,94.73,2023-12-29T21:00:00Z,4821320,11840,2403624,0,False,True,24225,0,0,12385,2417695,1703883600000,Closed
