,High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
0,459.65,455.16,455.77,459.1,2023-12-01T21:00:00Z,89191985,301841,40419778,0,False,True,606008,0,0,304167,48772207,1701464400000,Closed
1,459.65,455.16,455.77,459.1,2023-12-01T21:00:00Z,89191985,301841,40419778,0,False,True,606008,0,0,304167,48772207,1701464400000,Closed
2,459.65,455.16,455.77,459.1,2023-12-01T21:00:00Z,89191985,301543,40410528,0,False,True,605459,0,0,303916,48781457,1701464400000,Closed
3,456.94,454.34,455.6,456.69,2023-12-04T21:00:00Z,72431000,266466,34758950,0,False,True,538527,0,0,272061,37672050,1701723600000,Closed
4,457.59,454.87,455.26,456.6,2023-12-05T21:00:00Z,69793495,240237,35929125,0,False,True,483148,0,0,242911,33864369,1701810000000,Closed
5,458.84,454.31,458.81,454.76,2023-12-06T21:00:00Z,69125908,235586,35843769,0,False,True,465675,0,0,230089,33282138,1701896400000,Closed
6,458.9,456.29,456.91,458.23,2023-12-07T21:00:00Z,67005550,227855,32336463,0,False,True,458075,0,0,230220,34669086,1701982800000,Closed
7,460.75,457.21,457.46,460.2,2023-12-08T21:00:00Z,83195199,259632,39423714,0,False,True,525310,0,0,265678,43771484,1702069200000,Closed
8,460.75,457.21,457.46,460.2,2023-12-08T21:00:00Z,83195199,259632,39423714,0,False,True,525310,0,0,265678,43771484,1702069200000,Closed
9,460.75,457.21,457.46,460.2,2023-12-08T21:00:00Z,83195199,259632,39423714,0,False,True,525310,0,0,265678,43771484,1702069200000,Closed
10,462.17,459.47,459.69,461.99,2023-12-11T21:00:00Z,65002707,233194,30590443,0,False,True,461173,0,0,227979,34412263,1702328400000,Closed
11,464.2,460.6,461.63,464.1,2023-12-12T21:00:00Z,68327733,221019,37651436,0,False,True,437914,0,0,216895,30676296,1702414800000,Closed
12,470.76,464.12,464.49,470.5,2023-12-13T21:00:00Z,93278951,330991,46546970,0,False,True,662283,0,0,331292,46731981,1702501200000,Closed
13,473.73,469.25,472.5,472.01,2023-12-14T21:00:00Z,119027559,357541,54603619,0,False,True,712964,0,0,355423,64423939,1702587600000,Closed
14,470.7,468.44,469.49,469.33,2023-12-15T21:00:00Z,141554000,331988,65154050,0,False,True,668647,0,0,336659,76399950,1702674000000,Closed
15,470.7,468.44,469.49,469.33,2023-12-15T21:00:00Z,141554000,331988,65154050,0,False,True,668647,0,0,336659,76399950,1702674000000,Closed
16,470.7,468.44,469.49,469.33,2023-12-15T21:00:00Z,141554000,331988,65154050,0,False,True,668647,0,0,336659,76399950,1702674000000,Closed
