,High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
0,17.29,17,17.2,17.23,2023-12-01T21:00:00Z,9024912,19950,4470821,0,False,True,40882,0,0,20932,4554091,1701464400000,Closed
1,17.29,17,17.2,17.23,2023-12-01T21:00:00Z,9024912,19950,4470821,0,False,True,40882,0,0,20932,4554091,1701464400000,Closed
2,17.29,17,17.2,17.23,2023-12-01T21:00:00Z,9024912,19950,4470821,0,False,True,40882,0,0,20932,4554091,1701464400000,Closed
3,17.82,17.25,17.52,17.28,2023-12-04T21:00:00Z,7517799,21646,4080457,0,False,True,40827,0,0,19181,3437341,1701723600000,Closed
4,17.39,17.13,17.35,17.16,2023-12-05T21:00:00Z,5968180,14626,3291373,0,False,True,29096,0,0,14470,2676807,1701810000000,Closed
5,17.35,16.88,16.98,17.24,2023-12-06T21:00:00Z,6366187,14637,3416289,0,False,True,29381,0,0,14744,2949898,1701896400000,Closed
6,17.35,17.12,17.16,17.25,2023-12-07T21:00:00Z,4707803,11923,2288326,0,False,True,24249,0,0,12326,2419477,1701982800000,Closed
7,17.12,16.72,17.1,16.75,2023-12-08T21:00:00Z,7037603,16307,3707229,0,False,True,32039,0,0,15732,3330374,1702069200000,Closed
8,17.12,16.72,17.1,16.75,2023-12-08T21:00:00Z,7037603,16307,3707229,0,False,True,32039,0,0,15732,3330374,1702069200000,Closed
9,17.12,16.72,17.1,16.75,2023-12-08T21:00:00Z,7037603,16295,3707329,0,False,True,32014,0,0,15719,3330274,1702069200000,Closed
10,16.74,16.33,16.69,16.37,2023-12-11T21:00:00Z,7512840,15950,4067526,0,False,True,30970,0,0,15020,3445313,1702328400000,Closed
11,16.24,15.8,16.14,15.9,2023-12-12T21:00:00Z,9546775,20849,4899455,0,False,True,40856,0,0,20007,4647319,1702414800000,Closed
12,16.05,15.61,15.8,15.71,2023-12-13T21:00:00Z,12153874,26502,5736822,0,False,True,51898,0,0,25396,6417052,1702501200000,Closed
13,16.09,15.52,15.52,15.62,2023-12-14T21:00:00Z,15347337,35746,7308068,0,False,True,67377,0,0,31631,8039269,1702587600000,Closed
14,16.2,15.61,15.71,16.14,2023-12-15T21:00:00Z,10967379,24139,5475557,0,False,True,48150,0,0,24011,5491821,1702674000000,Closed
15,16.2,15.61,15.71,16.14,2023-12-15T21:00:00Z,10967379,24134,5475662,0,False,True,48142,0,0,24008,5491717,1702674000000,Closed
16,16.2,15.61,15.71,16.14,2023-12-15T21:00:00Z,10967379,24139,5475557,0,False,True,48150,0,0,24011,5491821,1702674000000,Closed
17,16.24,16.07,16.12,16.18,2023-12-18T21:00:00Z,6000879,11607,3009735,0,False,True,24292,0,0,12685,2991143,1702933200000,Closed
18,16.46,16.2,16.3,16.42,2023-12-19T21:00:00Z,5433751,11694,2678336,0,False,True,24340,0,0,12646,2755415,1703019600000,Closed
19,17.63,16.25,16.35,17.42,2023-12-20T21:00:00Z,18323094,35799,9195419,0,False,True,71895,0,0,36096,9127675,1703106000000,Closed
20,17.58,16.88,17.18,17.06,2023-12-21T21:00:00Z,11608304,27660,5934509,0,False,True,55313,0,0,27653,5673794,1703192400000,Closed
21,17.33,16.61,16.97,16.61,2023-12-22T21:00:00Z,9005535,21068,4468075,0,False,True,42343,0,0,21275,4537459,1703278800000,Closed
22,17.33,16.61,16.97,16.61,2023-12-22T21:00:00Z,9005535,21068,4468075,0,False,True,42343,0,0,21275,4537459,1703278800000,Closed
23,17.33,16.61,16.97,16.61,2023-12-22T21:00:00Z,9005535,21068,4468075,0,False,True,42343,0,0,21275,4537459,1703278800000,Closed
24,17.33,16.61,16.97,16.61,2023-12-22T21:00:00Z,9005535,21068,4468075,0,False,True,42343,0,0,21275,4537459,1703278800000,Closed
25,16.68,16.16,16.57,16.22,2023-12-26T21:00:00Z,4361963,9686,2174504,0,False,True,18803,0,0,9117,2187459,1703624400000,Closed
26,16.06,15.5,16.06,15.52,2023-12-27T21:00:00Z,7458246,16082,3758663,0,False,True,32243,0,0,16161,3699582,1703710800000,Closed
27,15.7,15.41,15.46,15.48,2023-12-28T21:00:00Z,6219867,13465,3099398,0,False,True,26757,0,0,13292,3120469,1703797200000,Closed
28,15.9,15.38,15.49,15.52,2023-12-29T21:00:00Z,10219169,22377,5089035,0,False,True,44949,0,0,22572,5130134,1703883600000,Closed
29,15.9,15.38,15.49,15.52,2023-12-29T21:00:00Z,10219169,22377,5089035,0,False,True,44949,0,0,22572,5130134,1703883600000,Closed
30,15.9,15.38,15.49,15.52,2023-12-29T21:00:00Z,10219169,22374,5090576,0,False,True,44941,0,0,22567,5128592,1703883600000,Closed
31,15.9,15.38,15.49,15.52,2023-12-29T21:00:00Z,10219169,22377,5089035,0,False,True,44949,0,0,22572,5130134,1703883600000,Closed
32,16.21,15.43,15.95,15.52,2024-01-02T21:00:00Z,11890646,25434,5421747,0,False,True,54204,0,0,28770,6468899,1704229200000,Closed
33,16.35,15.58,15.82,16.1,2024-01-03T21:00:00Z,15647062,30982,6887529,0,False,True,63899,0,0,32917,8759533,1704315600000,Closed
34,16.17,15.77,16.12,16.08,2024-01-04T21:00:00Z,7366121,18307,3690775,0,False,True,36919,0,0,18612,3675345,1704402000000,Closed
35,15.95,15.4,15.93,15.55,2024-01-05T21:00:00Z,13096712,28769,6509338,0,False,True,57646,0,0,28877,6587374,1704488400000,Closed
36,15.95,15.4,15.93,15.55,2024-01-05T21:00:00Z,13096712,28769,6509338,0,False,True,57646,0,0,28877,6587374,1704488400000,Closed
37,15.95,15.4,15.93,15.55,2024-01-05T21:00:00Z,13096712,28769,6509338,0,False,True,57646,0,0,28877,6587374,1704488400000,Closed
38,15.61,15,15.54,15.19,2024-01-08T21:00:00Z,8988835,19166,4667321,0,False,True,37960,0,0,18794,4321514,1704747600000,Closed
39,15.36,14.8,15.33,14.84,2024-01-09T21:00:00Z,6979539,16363,3556932,0,False,True,32221,0,0,15858,3422607,1704834000000,Closed
40,14.8,14.6,14.74,14.68,2024-01-10T21:00:00Z,8203125,16172,4018072,0,False,True,33430,0,0,17258,4185052,1704920400000,Closed
41,15.14,14.43,14.47,14.6,2024-01-11T21:00:00Z,12642666,29918,6464016,0,False,True,59544,0,0,29626,6178649,1705006800000,Closed
42,14.9,14.53,14.55,14.84,2024-01-12T21:00:00Z,9821973,22194,4962349,0,False,True,44334,0,0,22140,4859623,1705093200000,Closed
43,14.9,14.53,14.55,14.84,2024-01-12T21:00:00Z,9821973,22200,4962849,0,False,True,44346,0,0,22146,4859123,1705093200000,Closed
44,14.9,14.53,14.55,14.84,2024-01-12T21:00:00Z,9821973,22200,4962849,0,False,True,44346,0,0,22146,4859123,1705093200000,Closed
45,14.9,14.53,14.55,14.84,2024-01-12T21:00:00Z,9821973,22194,4962349,0,False,True,44334,0,0,22140,4859623,1705093200000,Closed
46,15.67,15.01,15.2,15.36,2024-01-16T21:00:00Z,13211076,31436,6501511,0,False,True,62719,0,0,31283,6709565,1705438800000,Closed
47,16.3,15.55,15.82,15.94,2024-01-17T21:00:00Z,15085604,34064,7753855,0,False,True,67439,0,0,33375,7331749,1705525200000,Closed
48,15.9,15.32,15.54,15.39,2024-01-18T21:00:00Z,10525966,23825,5164938,0,False,True,48269,0,0,24444,5361028,1705611600000,Closed
49,15.18,14.88,15.08,15,2024-01-19T21:00:00Z,10890331,23973,5244488,0,False,True,49490,0,0,25517,5645843,1705698000000,Closed
50,15.18,14.88,15.08,15,2024-01-19T21:00:00Z,10890331,23973,5244488,0,False,True,49490,0,0,25517,5645843,1705698000000,Closed
